school_name,enrolled_population,dtp_coverage_rate_percent,dtp_religious_exemption_rate_percent,mmr_coverage_rate_percent,mmr_religious_exemption_rate_percent
Lescon P.S.,112,84.8,2.7,84.8,2.7
Leslieville Jr P.S.,231,95.7,0.9,97.4,0.9
Lester B Pearson C.I.,1291,88,0.7,98.3,0.7
Lester B Pearson Elementary,385,94.8,2.3,97.9,2.1
Lillian P.S.,138,98.6,0,96.4,0
Lord Dufferin Jr & Sr P.S.,306,95.8,0.7,96.7,0.7
Lord Lansdowne Jr P.S.,174,95.4,3.4,96,3.4
Lord Roberts Jr P.S.,252,96.4,0.4,96.8,0.4
Loretto Abbey Catholic S.S.,904,86.7,1.5,97.7,1.5
Loretto College School,418,84.9,0.5,96.9,0.5
Lucy Maud Montgomery P.S.,133,95.5,0,98.5,0
Lucy McCormick Sr School,51,33.3,5.9,80.4,5.9
Lynngate Jr P.S.,104,92.3,2.9,93.3,2.9
Lynnwood Heights Jr P.S.,101,92.1,2,93.1,2
Macklin P.S.,340,95,0.6,95.9,0.6
Madonna Catholic S.S.,634,84.2,0.2,92.9,0.2
Malvern C.I.,1107,85.2,2.8,96.1,2.8
Malvern Jr P.S.,236,96.2,0.8,95.8,0.8
Manhattan Park Jr P.S.,65,90.8,3.1,89.2,3.1
Maple Leaf P.S.,160,91.3,4.4,93.1,4.4
Maplewood High School,93,86,5.4,94.6,4.3
Marc Garneau C.I.,1629,83.2,0.6,95,0.6
Market Lane Jr & Sr P.S.,191,91.6,1.6,92.1,1.6
Marshall McLuhan Catholic S.S.,1032,87.3,0.7,96.1,0.7
Martingrove C.I.,1088,86.8,0.9,97.1,0.9
Mary Shadd P.S.,310,94.5,0.6,96.1,0.6
Mary Ward Catholic S.S.,1002,87.5,1.2,96.9,1.1
Maryvale P.S.,180,89.4,2.2,92.8,1.7
Mason Road Jr P.S.,209,89.5,0.5,90.4,0.5
Maurice Cody Jr P.S.,374,96,2.1,96.3,2.1
McKee P.S.,427,97.2,0.9,97.9,0.9
McMurrich Jr P.S.,350,92.9,4,93.1,4
Meadowvale P.S.,177,91,1.7,96,1.7
Melody Village Jr School,124,99.2,0.8,97.6,0.8
Michael Power/St Joseph H.S.,1818,84.6,2,95.5,2
Military Trail P.S.,319,90.3,0.6,91.2,0.6
Mill Valley Jr School,83,92.8,7.2,92.8,7.2
Milliken P.S.,184,96.2,1.6,96.7,1.6
Millwood Jr School,241,97.5,2.1,97.5,2.1
Milne Valley Middle School,575,89.4,1.6,93.7,1.6
Monarch Park C.I.,775,86.8,2.3,96,2.3
Monsignor Fraser College - Alternate Study,106,82.1,1.9,95.3,1.9
Monsignor Fraser College - Isabella,14,42.9,7.1,71.4,7.1
Monsignor Fraser College - Midland,16,87.5,0,100,0
Monsignor Fraser College - Midland North,28,89.3,0,96.4,0
Monsignor Fraser College - Midtown,26,69.2,0,96.2,0
Monsignor Fraser College - Norfinch,73,80.8,0,93.2,0
Monsignor Fraser College - Northeast,64,78.1,0,92.2,0
Monsignor Fraser College - Southwest,99,75.8,1,94.9,1
Monsignor Fraser College - St. Martin,16,62.5,0,100,0
Monsignor John Corrigan C.S.,158,87.3,0.6,88,0.6
Monsignor Percy Johnson Catholic H.S.,936,84.9,0.9,94.7,0.9
Montrose Jr P.S.,112,99.1,0.9,98.2,0.9
Morrish P.S.,235,94.9,0.4,97.9,0.4
Morse Street Jr P.S.,323,96.6,1.9,96.9,1.9
Mother Cabrini C.S.,136,87.5,2.2,89,2.2
Mountview Alternative Jr,63,93.7,4.8,93.7,4.8
Muirhead P.S.,97,96.9,2.1,90.7,2.1
Native Learning Centre,15,66.7,6.7,86.7,6.7
Nativity of Our Lord C.S.,322,86,2.8,87.6,2.8
Neil McNeil High School,822,87.1,1.7,96.4,1.6
Nelson Mandela Park P.S.,234,94,2.1,94.9,2.1
Newtonbrook S.S.,749,80.6,1.7,89.9,1.7
Niagara Street Jr P.S.,125,92,1.6,96.8,1.6
Norman Cook Jr P.S.,83,95.2,1.2,96.4,1.2
Norman Ingram P.S.,109,92.7,3.7,94.5,3.7
Norseman JMS,581,92.9,2.1,96.7,2.1
North Agincourt Jr P.S.,267,97.4,1.1,98.1,1.1
North Albion C.I.,757,85.1,0.1,98,0
North Bendale Jr P.S.,75,90.7,2.7,94.7,2.7
North Bridlewood Jr P.S.,136,94.1,1.5,95.6,1.5
North East Year Round Alternative,29,86.2,3.4,93.1,3.4
North Kipling JMS,469,91.9,0.6,94.5,0.6
North Preparatory Jr P.S.,122,95.1,0.8,96.7,0.8
North Toronto C.I.,1286,86.2,1.2,97,1.2
North West Year Round Alternative,14,71.4,0,100,0
Northern S.S.,1678,85.3,3.1,95.8,3
Northlea EMS,560,95.9,1.6,97.7,1.6
Northview Heights S.S.,1490,84.6,1.1,93.7,1.1
Norway Jr P.S.,185,94.6,3.8,96.2,3.8
Notre Dame Catholic H.S.,656,84.6,0.3,96.5,0.3
Oakdale Park Middle School,417,91.6,0.7,95.2,0.7
Oakridge Jr P.S.,265,88.7,0.8,86,0.8
Oakwood C.I.,359,83.3,3.3,94.7,3.3
Oasis Alternative,72,75,9.7,88.9,9.7
O'Connor P.S.,80,86.3,0,91.3,0
Ogden Jr P.S.,116,96.6,0.9,94.8,0.9
Orde Street Jr P.S.,243,96.3,0.8,92.6,0.8
Oriole Park Jr P.S.,156,96.2,3.2,95.5,3.2
Ossington/Old Orchard Jr P.S.,188,95.7,3.2,95.2,3.2
St Joachim C.S.,217,91.7,0,92.6,0
Our Lady of Fatima C.S.,558,85.8,1.8,86.7,1.8
Our Lady of Grace C.S.,194,87.1,0.5,93.3,0.5
Our Lady of Guadalupe C.S.,121,83.5,0.8,84.3,0.8
Our Lady of Lourdes C.S.,383,86.7,0,87.5,0
Our Lady of Peace C.S.,458,88.9,3.3,93,3.3
Our Lady of Perpetual Help C.S.,244,93,0.4,92.2,0.4
Our Lady of Sorrows C.S.,577,90.5,2.4,92.5,2.4
Our Lady of The Assumption C.S.,284,77.8,1.1,75,1.1
Our Lady of Victory C.S.,485,86.6,0.2,88.7,0.2
Our Lady of Wisdom C.S.,236,88.1,3.8,91.1,3.8
Owen P.S.,331,95.2,1.5,94.9,1.5
Palmerston Avenue Jr P.S.,269,92.9,4.5,92.2,4.5
Pape Avenue Jr P.S.,230,96.5,2.2,97.4,2.2
Park Lane P.S.,47,55.3,0,74.5,0
Park Lawn JMS,383,92.7,3.7,93.5,3.7
Parkdale C.I.,493,84.8,1.4,95.7,1.4
Parkdale Jr & Sr P.S.,334,87.1,3.3,86.2,3.3
Parkfield Jr School,152,94.7,2,96.1,1.3
Parkside Elementary,101,94.1,0,96,0
Parkview Alternative,43,88.4,4.7,95.3,4.7
Pauline Johnson Jr P.S.,167,92.8,0.6,93.4,0.6
Pauline Jr P.S.,164,90.2,3,90.9,3
Pelmo Park P.S.,166,91.6,3,90.4,3
Percy Williams Jr P.S.,197,98.5,0,98.5,0
Perth Avenue Jr P.S.,175,92,4,90.3,4
Pierre Laporte Middle School,398,88.2,0.8,91.7,0.8
Pineway P.S.,76,90.8,1.3,89.5,1.3
Pleasant P.S.,272,95.2,3.3,93,3.3
Pleasant View Middle School,313,93.9,1.3,93.6,1.3
Pope Francis C.S.,184,89.1,0,91.3,0
Poplar Road Jr P.S.,159,97.5,1.3,98.1,1.3
Port Royal P.S.,243,95.5,0.8,96.3,0.8
Portage Trail Community Jr School,480,91.9,2.9,92.3,2.9
Precious Blood C.S.,327,85.6,0.9,87.5,0.9
Presteign Heights Elementary,135,94.8,4.4,94.1,4.4
Prince of Peace C.S.,230,90.9,0.9,93,0.9
Princess Margaret Jr School,209,89.5,1.4,90.4,1.9
Queen Alexandra Middle School,342,89.5,2.9,95,2.9
Queen Victoria Jr P.S.,586,89.4,3.1,92.5,3.1
Quest Alternative Sr,66,86.4,7.6,89.4,7.6
R H King Academy,1229,87.2,0.7,98,0.6
R H McGregor Elementary,409,96.3,1.2,96.1,1.2
R J Lang EMS,323,89.8,1.5,90.1,1.5
Ranchdale P.S.,124,96,0,96.8,0
Rawlinson Community School,501,93,2,95,2
Regal Road Jr P.S.,357,93.3,2.2,93.3,2.2
Regent Heights P.S.,371,91.4,0.5,91.1,0.5
Regina Mundi C.S.,280,88.2,1.1,91.4,1.1
Rene Gordon Health & Wellness Academy,161,95,1.2,94.4,1.2
Richview C.I.,1035,84.8,2.6,96.8,2.6
Rippleton P.S.,161,97.5,1.2,96.9,1.2
Rivercrest Jr School,118,94.1,2.5,91.5,2.5
Riverdale C.I.,1198,87.1,2.9,96.3,2.8
Robert Service Sr P.S.,166,88,0,97.6,0
Rockcliffe Middle School,296,88.9,2.4,95.3,2.4
Rockford P.S.,430,93.7,1.6,94.2,1.6
Roden P.S.,284,90.1,2.1,94.4,2.1
Rolph Road Elementary,235,97.4,1.7,97.4,1.7
Rose Avenue Jr P.S.,371,95.7,0,95.1,0
Rosedale Heights School of The Arts,1045,80.9,8.2,89.6,8.2
Rosedale Jr P.S.,151,98.7,0,98.7,0
Roselands Jr P.S.,200,95.5,2.5,94,2.5
Rosethorn Jr School,258,94.6,5,93.8,5
Rouge Valley P.S.,163,95.1,0.6,98.2,0.6
Roywood P.S.,104,92.3,2.9,91.3,2.9
Runnymede Jr & Sr P.S.,707,95.5,1.1,97.9,1.3
Ryerson Community School,309,81.9,1.9,85.1,1.9
Sacred Heart C.S.,194,84.5,1,88.7,1
Samuel Hearne P.S.,372,87.9,0.5,90.3,0.5
Santa Maria C.S.,161,90.1,0,91.3,0
Satec at W A Porter C.I.,1181,88,0.3,96.4,0.3
Scarborough Village P.S.,140,91.4,0,95.7,0
School of Experiential Education,45,77.8,2.2,97.8,2.2
School of Life Experience,28,92.9,0,96.4,0
Second Street JMS,351,93.7,2.3,94.3,2.3
Secord Elementary,327,93,2.4,93.9,2.4
Seed Alternative,31,80.6,6.5,90.3,6.5
Selwyn Elementary,163,95.7,3.1,96.3,3.1
Senator O'Connor College,1321,85.5,1.3,94.7,1.3
Seneca Hill P.S.,195,99,0,98.5,0
Seneca School,56,91.1,3.6,94.6,3.6
Seventh Street Jr School,118,94.9,3.4,95.8,3.4
Shaughnessy P.S.,143,97.2,0,97.9,0
Sheppard P.S.,99,98,1,94.9,1
Shirley Street Jr P.S.,111,91.9,8.1,91.9,8.1
Shoreham P.S.,146,90.4,1.4,91.1,1.4
Silver Springs P.S.,250,96.4,0,96,0
Silverthorn C.I.,834,82,2.4,95.2,2.4
Silverthorn Community School,225,92.9,3.1,93.8,3.1
Sir Adam Beck Jr School,244,94.3,4.1,94.7,4.1
Sir Alexander Mackenzie Sr P.S.,396,89.9,1.3,97.5,1.3
Sir Ernest Macmillan Sr P.S.,370,89.5,1.4,96.8,1.4
Sir John A Macdonald C.I.,1094,85.7,1.5,95.4,1.3
Sir Oliver Mowat C.I.,1048,86.5,2,97.1,2
Sir Samuel B Steele Jr P.S.,234,97,0.9,97,0.9
Sir Wilfrid Laurier C.I.,1319,87.2,1.1,97.3,1.1
Sir William Osler H.S.,110,87.3,0.9,93.6,0.9
Sloane P.S.,144,95.8,0,96.5,0
Smithfield Middle School,631,93.5,0.3,98.1,0.3
South East Year Round Alternative,27,92.6,0,100,0
Spectrum Alternative Sr,60,88.3,8.3,91.7,8.3
Sprucecourt Jr P.S.,194,92.8,1,96.9,1
St Agatha C.S.,282,89,1.1,91.5,1.1
St Agnes C.S.,241,81.3,2.1,81.3,2.1
St Aidan C.S.,220,88.6,0.5,91.8,0.5
St Albert C.S.,317,89.3,0.9,91.5,0.9
St Alphonsus C.S.,165,84.2,1.2,86.7,1.2
St Ambrose C.S.,258,85.7,3.9,88.4,3.9
St Andre C.S.,419,86.2,0,88.1,0
St Andrew C.S.,550,79.3,0.2,86.4,0.2
St Andrews Middle School,393,93.1,2.3,94.9,2.3
St Andrews P.S.,222,96.4,0,98.2,0
St Angela C.S.,397,77.6,0.5,81.1,0.5
St Anselm C.S.,269,89.2,2.6,91.1,2.6
St Anthony C.S.,242,81.8,2.5,86,2.5
St Antoine Daniel C.S.,297,81.5,0.3,82.8,0.3
St Augustine C.S.,422,82.2,0.2,84.6,0.2
St Barbara C.S.,265,84.9,1.1,84.5,1.1
St Barnabas C.S.,207,94.2,1.4,93.2,1.4
St Bartholomew C.S.,67,86.6,4.5,86.6,4.5
St Bede C.S.,117,84.6,0.9,90.6,0.9
St Benedict C.S.,436,86.5,0.9,89.4,0.7
St Bernard C.S.,478,86.6,1,88.7,1
St Bonaventure C.S.,435,90.8,1.1,93.1,1.1
St Boniface C.S.,259,86.1,0,86.5,0
St Brendan C.S.,409,90.2,0.5,94.4,0.5
St Brigid C.S.,425,84,1.9,88,1.9
St Bruno / St Raymond C.S.,158,80.4,5.7,84.8,5.1
St Catherine C.S.,78,80.8,3.8,87.2,3.8
St Cecilia C.S.,463,92,2.2,94.2,2.2
St Charles C.S.,193,91.2,1,91.2,1
St Charles Garnier C.S.,314,85.4,0.6,86.6,0.6
St Clare C.S.,300,87.3,1.3,89.7,1.3
St Clement C.S.,329,90.9,2.1,93.3,2.1
St Columba C.S.,169,81.1,3.6,82.2,3.6
St Conrad C.S.,426,89.9,0.7,90.6,0.7
St Cyril C.S.,217,92.2,0.9,93.5,0.9
St Demetrius C.S.,193,83.9,6.2,87.6,6.2
St Denis C.S.,215,89.3,3.3,90.7,3.3
St Dominic Savio C.S.,193,90.2,1,89.6,1
St Dorothy C.S.,239,87.9,0.8,90,0.8
St Dunstan C.S.,185,81.1,1.1,82.7,1.1
St Edmund Campion C.S.,185,91.9,0,90.8,0
St Edward C.S.,336,90.8,1.5,90.8,1.5
St Elizabeth C.S.,167,79.6,2.4,86.2,2.4
St Elizabeth Seton C.S.,116,89.7,1.7,94,1.7
St Eugene C.S.,263,87.5,2.7,89.7,2.7
St Fidelis C.S.,438,88.4,3,89.7,3
St Florence C.S.,141,82.3,1.4,87.9,1.4
St Francis De Sales C.S.,334,86.8,0.3,87.7,0.3
St Francis of Assisi C.S.,123,87.8,4.1,93.5,4.1
St Francis Xavier C.S.,372,85.2,0.5,87.6,0.5
St Gabriel C.S.,227,76.7,1.3,78,1.3
St Gabriel Lalemant C.S.,105,90.5,0,95.2,0
St George's Jr,113,93.8,1.8,94.7,1.8
St Gerald C.S.,212,83,0.9,83,0.9
St Gregory C.S.,530,90.4,3,89.6,3
St Helen C.S.,289,90.3,1,93.1,1
St Henry C.S.,179,88.3,0.6,89.9,0.6
St Ignatius of Loyola C.S.,91,87.9,5.5,89,5.5
St Isaac Jogues C.S.,259,84.2,0.8,85.3,0.8
St James C.S.,131,86.3,0.8,87.8,0.8
St Jane Frances C.S.,517,87.8,0.4,89.7,0.4
St Jean De Brebeuf C.S.,159,93.1,0.6,92.5,0.6
St Jerome C.S.,372,84.4,0.3,88.7,0.3
St John Bosco C.S.,238,90.3,0,90.3,0
St John C.S.,336,89.9,0.9,93.5,0.9
St John The Evangelist C.S.,306,85.6,0,87.6,0
St John Vianney C.S.,282,86.9,2.5,86.2,2.5
St Josaphat C.S.,108,77.8,7.4,76.9,7.4
St Joseph C.S.,151,94,0.7,93.4,0.7
St Joseph's College,758,85,0.9,92.5,0.9
St Josephs Morrow Park H.S.,459,81.3,0.4,88.5,0.4
St Jude C.S.,542,86.5,0,91,0
St Kevin C.S.,180,88.3,1.1,90.6,1.1
St Lawrence C.S.,329,90.9,0.6,92.1,0.6
St Leo C.S.,200,84,2,86.5,2
St Louis C.S.,145,90.3,3.4,91,3.4
St Luigi C.S.,99,84.8,0,84.8,0
St Malachy C.S.,214,86.9,0.9,90.7,0.9
St Marcellus C.S.,286,81.1,1.7,82.9,1.7
St Margaret C.S.,474,87.8,0.4,85,0.4
St Margaret's P.S.,199,89.4,2,93.5,2
St Marguerite Bourgeoys C.S.,69,88.4,0,91.3,0
St Maria Goretti C.S.,717,89.7,0.3,90.8,0.3
St Mark C.S.,144,83.3,4.9,84.7,4.9
St Martha C.S.,162,84.6,3.7,87,3.7
St Martin De Porres C.S.,302,82.8,0,87.4,0
St Mary C.S.,219,87.7,1.4,90,1.4
St Mary of The Angels C.S.,167,93.4,0,93.4,0
St Mary's Catholic S.S.,650,76.9,0.8,87.8,0.8
St Matthew C.S.,378,93.1,0.5,94.7,0.5
St Matthias C.S.,202,81.2,2,83.2,2
St Maurice C.S.,204,85.8,0.5,87.7,0.5
St Michael C.S.,129,82.9,1.6,90.7,1.6
St Michael's Choir Jr School,169,92.9,3,94.1,3
St Michael's Choir Sr School,88,83,2.3,95.5,2.3
St Monica C.S.,223,84.8,0.9,90.1,0.9
St Nicholas C.S.,273,89,1.1,90.1,1.1
St Nicholas of Bari C.S.,454,91.9,0.7,92.1,0.7
St Norbert C.S.,243,88.1,1.6,88.5,1.6
St Oscar Romero Catholic S.S.,627,84.1,0.2,93.9,0.2
St Paschal Baylon C.S.,522,84.7,0.4,82.6,0.4
St Patrick Catholic S.S.,728,83.8,0.8,90.4,0.8
St Paul C.S.,123,83.7,0,83.7,0
St Pius X C.S.,373,89.5,1.9,90.9,1.9
St Raphael C.S.,367,86.1,1.1,89.4,1.1
St Rene Goupil C.S.,95,57.9,0,57.9,0
St Richard C.S.,302,89.1,0.7,92.4,0.7
St Rita C.S.,66,83.3,1.5,90.9,1.5
St Robert C.S.,441,89.6,0.5,87.5,0.5
St Roch C.S.,253,88.9,0,92.9,0
St Rose of Lima C.S.,325,89.5,0.3,88.6,0.3
St Sebastian C.S.,152,92.8,3.3,94.1,3.3
St Simon C.S.,384,88.5,0.5,90.4,0.5
St Stephen C.S.,294,88.8,0.3,88.1,0.3
St Sylvester C.S.,130,88.5,2.3,90,2.3
St Teresa C.S.,182,81.9,1.1,87.4,1.1
St Theresa Shrine C.S.,157,94.3,0,94.9,0
St Thomas Aquinas C.S.,401,84.8,0,88.8,0
St Thomas More C.S.,235,86.4,0.4,88.9,0.4
St Timothy C.S.,456,88.8,1.1,88.8,1.1
St Ursula C.S.,184,92.9,0.5,93.5,0.5
St Victor C.S.,235,89.8,0.4,93.2,0.4
St Vincent de Paul C.S.,244,89.8,2.9,89.8,2.9
St Wilfrid C.S.,472,80.5,0.4,83.5,0.4
St. Basil The Great College,1258,86.2,0.7,95.1,0.7
St. John Paul II Catholic S.S.,1276,86.8,0.5,97.2,0.5
St. John XXIII C.S.,305,80.7,0.7,78.4,0.7
St. Kateri Tekakwitha C.S.,213,78.9,2.3,78.4,2.3
St. Mother Teresa Catholic Academy,413,83.5,1.5,90.1,1.5
Stanley P.S.,209,94.7,1.4,95.2,1.4
Steelesview P.S.,200,98.5,1,97.5,1
Stella Maris C.S.,263,91.6,0.8,92.8,0.8
Stephen Leacock C.I.,511,82.2,0.6,93.2,0.6
Stilecroft P.S.,138,96.4,0.7,94.2,0.7
Sts Cosmas and Damian C.S.,261,87.7,0.8,87.7,0.8
Subway Academy I,21,71.4,9.5,81,9.5
Subway Academy II,19,78.9,0,78.9,0
Summit Heights P.S.,274,97.4,2.6,96.7,2.6
Sunny View Jr & Sr P.S.,67,83.6,3,86.6,3
Sunnylea Jr School,178,96.6,2.8,96.6,2.8
Swansea Jr & Sr P.S.,642,94.4,3.3,96,3.3
Tam O'Shanter Jr P.S.,202,97,0.5,95.5,0.5
Taylor Creek P.S.,275,96.4,0.4,98.5,0.4
Tecumseh Senior P.S.,263,88.6,0.8,96.2,0.8
Terraview-Willowfield P.S.,202,93.1,3.5,93.6,3.5
Terry Fox P.S.,282,96.8,0,98.9,0
The Divine Infant C.S.,82,87.8,1.2,90.2,1.2
The Elms JMS,287,93,1.7,94.8,1.7
The Grove Community School,76,80.3,19.7,80.3,19.7
The Holy Trinity C.S.,317,82,2.2,84.2,2.2
The Student School,22,77.3,4.5,95.5,4.5
The Waterfront School,142,94.4,4.9,92.3,4.9
Thistletown C.I.,441,82.8,1.4,97.1,0.9
Thomas L Wells P.S.,396,96.2,0,99.2,0
Thorncliffe Park P.S.,1108,95.8,0.3,96,0.3
Three Valleys P.S.,173,95.4,2.3,95.4,2.3
Timberbank Jr P.S.,152,98,0.7,94.7,0.7
Tom Longboat Jr P.S.,178,96.6,1.7,93.8,1.7
Topcliff P.S.,210,96.7,0,98.6,0
Transfiguration of Our Lord C.S.,320,87.2,1.9,91.3,1.9
Tredway Woodsworth P.S.,587,94,1.4,95.9,1.2
Tumpane P.S.,232,94.4,1.7,95.3,1.7
Twentieth Street Jr School,94,89.4,5.3,90.4,5.3
Ursula Franklin Academy,521,83.7,3.8,95.2,3.8
Valley Park Middle School,964,90.2,0.4,91.2,0.4
Valleyfield Jr School,208,89.4,1.9,91.3,1.9
Venerable John Merlini C.S.,210,88.1,1,93.8,1
Victoria Park C.I.,1173,86.9,0.9,96.2,0.9
Victoria Park Elementary,92,98.9,0,100,0
Victoria Village P.S.,132,89.4,4.5,90.2,4.5
Vradenburg Jr P.S.,145,98.6,0,98.6,0
Walter Perry Jr P.S.,189,89.9,1.6,93.1,1.6
Warren Park Jr P.S.,111,87.4,6.3,87.4,6.3
Wedgewood Jr School,240,96.3,1.3,98.3,1.3
Wellesworth Jr School,96,87.5,3.1,88.5,3.1
West End Alternative,49,81.6,8.2,89.8,8.2
West Glen Jr School,98,93.9,5.1,89.8,4.1
West Hill C.I.,631,83.8,1.4,95.7,1.4
West Hill P.S.,150,90.7,2.7,90,2.7
West Humber C.I.,1016,85.2,0.9,96.1,0.9
West Humber JMS,341,94.1,0.3,93.5,0.3
West Preparatory Jr P.S.,341,94.1,3.5,94.1,3.5
West Rouge Jr P.S.,199,91.5,5.5,91.5,5.5
Western Technical & Commercial School,975,80.3,3.8,93.7,3.7
Westmount Jr School,123,89.4,2.4,93.5,2.4
Weston C.I.,894,84.2,1.3,95.3,1.2
Weston Memorial Jr P.S.,157,97.5,1.3,98.1,1.3
Westview Centennial S.S.,763,81.3,0.7,93.8,0.7
Westway Jr School,122,94.3,1.6,95.9,1.6
Westwood Middle School,373,90.3,2.9,95.2,2.9
Wexford Collegiate School for The Arts,1084,84,2.1,96.5,2
Wexford P.S.,250,91.2,1.6,92,1.6
White Haven Jr P.S.,350,94.9,1.1,96,1.1
Whitney Jr P.S.,161,95.7,2.5,95.7,2.5
Wilkinson Jr P.S.,316,97.8,1.6,96.8,1.6
William Burgess Elementary,202,91.1,3,91.1,3
William G Davis Jr P.S.,170,98.8,0,95.9,0
William G Miller Jr P.S.,373,93.8,3.5,96,3.5
William J McCordic School,52,46.2,3.8,84.6,3.8
William Lyon Mackenzie C.I.,1377,84.9,2.5,94.6,2.5
Williamson Road Jr P.S.,356,97.2,2,96.9,2
Willow Park Jr P.S.,216,97.2,0,99.1,0
Willowdale Middle School,542,92.6,2.2,94.6,2.2
Wilmington Elementary,101,92.1,0,90.1,0
Winchester Jr & Sr P.S.,343,91.3,3.2,93.3,3.2
Windfields Middle School,661,91.8,2.9,95.2,2.7
Winona Drive Senior P.S.,414,87.4,5.1,94.2,5.1
Winston Churchill C.I.,517,87,1.5,96.5,1.5
Withrow Avenue Jr P.S.,366,96.2,2.5,95.6,2.5
Woburn C.I.,877,88.6,0.2,98.5,0.2
Woburn Jr P.S.,225,98.7,0,98.7,0
Woodbine Jr H.S.,347,89.6,1.4,90.2,1.4
York Humber H.S.,122,86.9,4.1,93.4,4.1
York Memorial C.I.,876,86.8,2.5,96.3,2.5
York Mills C.I.,1200,86.3,1.3,97.2,1.3
Yorkview P.S.,256,93.8,2.3,93,2.3
Yorkwoods P.S.,224,88.4,0.9,91.5,0.9
Zion Heights Jr H.S.,592,94.4,1,96.5,1
